cycle,length,bottleneck_kzt
100000002293421100→100000004180097100→100000002293421100,2,22000.0
100000002156381100→100000002696152100→100000002156381100,2,21800.0
100000008686313100→100000006866783100→100000002306369100→100000008603629100→100000004351795100→100000000437046100→100000008686313100,6,20900.0
100000008686313100→100000006866783100→100000002306369100→100000008603629100→100000008686313100,4,20900.0
100000008686313100→100000006866783100→100000002306369100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,20900.0
100000004351795100→100000003242289100→100000008304139100→100000006866783100→100000002306369100→100000008603629100→100000004351795100,6,20900.0
100000008603629100→100000001660397100→100000006866783100→100000002306369100→100000008603629100,4,20900.0
100000004070318100→100000006866783100→100000002306369100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,20900.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000002306369100→100000008603629100→100000008686313100,6,20900.0
100000004070318100→100000006866783100→100000002306369100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,20900.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000002306369100→100000008603629100,6,20900.0
100000004070318100→100000006866783100→100000002306369100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,20900.0
100000008417359100→100000008512552100→100000003242289100→100000008417359100,3,20760.0
100000000607941100→100000003406094100→100000000607941100,2,20000.0
100000007898453100→100000003946524100→100000007898453100,2,20000.0
100000008686313100→100000006866783100→100000004351795100→100000003242289100→100000004140487100→100000008603629100→100000008686313100,6,20000.0
100000004351795100→100000003242289100→100000004140487100→100000008603629100→100000001660397100→100000006866783100→100000004351795100,6,20000.0
100000008389800100→100000008430691100→100000008389800100,2,20000.0
100000004351795100→100000003242289100→100000004140487100→100000008603629100→100000004351795100,4,20000.0
100000008547844100→100000008465789100→100000008547948100→100000008547844100,3,20000.0
100000002132479100→100000004159526100→100000002132479100,2,20000.0
100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000002306369100→100000002723538100,5,20000.0
100000004351795100→100000008512552100→100000003242289100→100000004140487100→100000008603629100→100000004351795100,5,20000.0
100000005519998100→100000004017410100→100000004336312100→100000005519998100,3,20000.0
100000008603629100→100000002723538100→100000003242289100→100000004140487100→100000008603629100,4,20000.0
100000004076740100→100000004336312100→100000004017410100→100000005519998100→100000004076740100,4,20000.0
100000004076740100→100000004336312100→100000005519998100→100000004076740100,3,20000.0
100000008603629100→100000001660397100→100000006866783100→100000002306369100→100000002723538100→100000008603629100,5,20000.0
100000008686313100→100000006866783100→100000002306369100→100000002723538100→100000008603629100→100000008686313100,5,20000.0
100000004076740100→100000005519998100→100000004076740100,2,20000.0
100000005933757100→100000008104567100→100000005704413100→100000004569484100→100000005933757100,4,20000.0
100000002175422100→100000003557488100→100000002175422100,2,20000.0
100000008587459100→100000006866783100→100000002306369100→100000002723538100→100000003242289100→100000008304139100→100000008587459100,6,20000.0
100000001526235100→100000005505655100→100000001526235100,2,20000.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008587459100→100000006866783100→100000004070318100,5,19800.0
100000004070318100→100000004400305100→100000008304139100→100000006866783100→100000004070318100,4,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008477350100→100000005910114100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000000437046100→100000008686313100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000000437046100→100000004070318100,4,19800.0
100000004070318100→100000004400305100→100000008304139100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008304139100→100000006866783100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000004847758100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000004847758100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000004847758100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000004847758100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000004847758100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000004070318100,4,19800.0
100000004070318100→100000004400305100→100000008686313100→100000006866783100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000004070318100,4,19800.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000000437046100→100000004070318100,4,19800.0
100000004070318100→100000004400305100→100000004070318100,2,19800.0
100000004070318100→100000004400305100→100000008686313100→100000006866783100→100000004070318100,4,19800.0
100000004070318100→100000004400305100→100000008686313100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000006866783100→100000004390333100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000008686313100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,19800.0
100000004070318100→100000004400305100→100000005910114100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,19800.0
100000002957787100→100000005268319100→100000002957787100,2,19712.8
100000001660397100→100000006866783100→100000001660397100,2,19300.0
100000000785800100→100000008601794100→100000001872484100→100000000785800100,3,19000.0
100000004330371100→100000003016635100→100000004330371100,2,18981.0
100000008086440100→100000008477350100→100000008086440100,2,18900.0
100000008603629100→100000002723538100→100000003242289100→100000004140487100→100000004400305100→100000004390333100→100000008603629100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000006866783100→100000004070318100,4,18807.0
100000004070318100→100000004400305100→100000004390333100→100000006866783100→100000008304139100→100000000437046100→100000004070318100,6,18807.0
100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000004390333100→100000008603629100→100000004351795100,6,18807.0
100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000004390333100→100000006866783100→100000004351795100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008477350100→100000005910114100→100000006866783100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000006866783100→100000007639767100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000006866783100→100000008686313100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000006866783100→100000004351795100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000000437046100→100000008686313100→100000006866783100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,18807.0
100000004070318100→100000004400305100→100000004390333100→100000000437046100→100000004070318100,4,18807.0
100000008686313100→100000006866783100→100000004847758100→100000008603629100→100000004351795100→100000000437046100→100000008686313100,6,18775.0
100000008686313100→100000006866783100→100000004847758100→100000008603629100→100000008686313100,4,18775.0
100000008686313100→100000008477350100→100000005910114100→100000006866783100→100000004847758100→100000008603629100→100000008686313100,6,18775.0
100000004847758100→100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000004847758100,6,18775.0
100000004847758100→100000008603629100→100000001660397100→100000006866783100→100000004847758100,4,18775.0
100000004070318100→100000006866783100→100000004847758100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,18775.0
100000004847758100→100000008603629100→100000004351795100→100000003242289100→100000008304139100→100000006866783100→100000004847758100,6,18775.0
100000004070318100→100000006866783100→100000004847758100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,18775.0
100000008686313100→100000006866783100→100000004847758100→100000008603629100→100000007639767100→100000000437046100→100000008686313100,6,18775.0
100000004070318100→100000006866783100→100000004847758100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,18775.0
100000008710843100→100000008547844100→100000008465789100→100000008466579100→100000008489922100→100000008710843100,5,18200.0
100000008710843100→100000008547844100→100000008465789100→100000008547948100→100000008489922100→100000008710843100,5,18200.0
100000008710843100→100000008547844100→100000008465789100→100000008466579100→100000008547948100→100000008489922100→100000008710843100,6,18200.0
100000008710843100→100000008547844100→100000008547948100→100000008489922100→100000008710843100,4,18200.0
100000004544958100→100000004677680100→100000004544958100,2,18000.0
100000001893287100→100000004698193100→100000001893287100,2,18000.0
100000004188160100→100000003016635100→100000004188160100,2,18000.0
100000006707582100→100000000850297100→100000006707582100,2,17520.0
100000008169544100→100000003016635100→100000008169544100,2,17300.0
100000008443341100→100000008477350100→100000003968044100→100000008603629100→100000001660397100→100000006866783100→100000008443341100,6,17000.0
100000008686313100→100000006866783100→100000008443341100→100000008477350100→100000003968044100→100000008603629100→100000008686313100,6,17000.0
100000004070318100→100000006866783100→100000008443341100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,17000.0
100000008086440100→100000008603629100→100000001660397100→100000006866783100→100000008443341100→100000008477350100→100000008086440100,6,17000.0
100000008686313100→100000006866783100→100000008443341100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,6,17000.0
100000008686313100→100000006866783100→100000008443341100→100000008477350100→100000005910114100→100000008603629100→100000008686313100,6,17000.0
100000008686313100→100000006866783100→100000008443341100→100000008477350100→100000008086440100→100000008603629100→100000008686313100,6,17000.0
100000008443341100→100000008477350100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000008443341100,6,17000.0
100000008443341100→100000008477350100→100000005910114100→100000006866783100→100000008443341100,4,17000.0
100000008443341100→100000008477350100→100000005910114100→100000008603629100→100000001660397100→100000006866783100→100000008443341100,6,17000.0
100000005287097100→100000004156082100→100000005287097100,2,16450.0
100000005287097100→100000004150593100→100000008188026100→100000004527381100→100000004156082100→100000005287097100,5,16450.0
100000005287097100→100000003016635100→100000008188026100→100000004527381100→100000004156082100→100000005287097100,5,16450.0
100000004070318100→100000008477350100→100000007639767100→100000000437046100→100000008686313100→100000006866783100→100000004070318100,6,16305.0
100000004070318100→100000006866783100→100000008443341100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000008443341100→100000008477350100→100000007639767100→100000008603629100→100000001660397100→100000006866783100→100000008443341100,6,16305.0
100000004070318100→100000004400305100→100000008304139100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000004070318100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,4,16305.0
100000008686313100→100000008477350100→100000007639767100→100000000437046100→100000001279272100→100000000331309100→100000008686313100,6,16305.0
100000008686313100→100000008477350100→100000007639767100→100000008603629100→100000004351795100→100000000437046100→100000008686313100,6,16305.0
100000004070318100→100000008477350100→100000007639767100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,16305.0
100000008686313100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,4,16305.0
100000004070318100→100000006866783100→100000008304139100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000004070318100→100000004400305100→100000004390333100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000008686313100→100000006866783100→100000004390333100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,6,16305.0
100000004070318100→100000006866783100→100000002306369100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000004070318100→100000008603629100→100000008686313100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000004070318100→100000004400305100→100000008686313100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000008686313100→100000006866783100→100000008443341100→100000008477350100→100000007639767100→100000008603629100→100000008686313100,6,16305.0
100000004070318100→100000006866783100→100000004390333100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000008686313100→100000008477350100→100000007639767100→100000008603629100→100000008686313100,4,16305.0
100000004070318100→100000008477350100→100000007639767100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,16305.0
100000008603629100→100000002723538100→100000003242289100→100000008304139100→100000008477350100→100000007639767100→100000008603629100,6,16305.0
100000008603629100→100000001660397100→100000006866783100→100000004390333100→100000008477350100→100000007639767100→100000008603629100,6,16305.0
100000008603629100→100000001660397100→100000006866783100→100000008304139100→100000008477350100→100000007639767100→100000008603629100,6,16305.0
100000008603629100→100000001660397100→100000006866783100→100000002306369100→100000008477350100→100000007639767100→100000008603629100,6,16305.0
100000004351795100→100000003242289100→100000008304139100→100000008477350100→100000007639767100→100000008603629100→100000004351795100,6,16305.0
100000008686313100→100000006866783100→100000002306369100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,6,16305.0
100000008686313100→100000006866783100→100000008304139100→100000008477350100→100000007639767100→100000008603629100→100000008686313100,6,16305.0
100000008686313100→100000006866783100→100000008304139100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,6,16305.0
100000004070318100→100000006866783100→100000008686313100→100000008477350100→100000007639767100→100000000437046100→100000004070318100,6,16305.0
100000008686313100→100000006866783100→100000008443341100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,6,16305.0
100000008686313100→100000006866783100→100000002306369100→100000008477350100→100000007639767100→100000008603629100→100000008686313100,6,16305.0
100000008686313100→100000006866783100→100000004390333100→100000008477350100→100000007639767100→100000008603629100→100000008686313100,6,16305.0
100000004070318100→100000008477350100→100000007639767100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,16305.0
100000008686313100→100000008477350100→100000007639767100→100000008603629100→100000001660397100→100000006866783100→100000008686313100,6,16305.0
100000004070318100→100000008477350100→100000007639767100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,16305.0
100000004847758100→100000008603629100→100000001660397100→100000006866783100→100000004679953100→100000005782781100→100000004847758100,6,16000.0
100000008686313100→100000006866783100→100000004679953100→100000005782781100→100000004847758100→100000008603629100→100000008686313100,6,16000.0
100000004847758100→100000008603629100→100000004679953100→100000005782781100→100000004847758100,4,16000.0
100000005168487100→100000002941114100→100000005168487100,2,15000.0
100000002723538100→100000003242289100→100000004140487100→100000004400305100→100000002723538100,4,15000.0
100000008293431100→100000000437046100→100000008293431100,2,15000.0
100000004070318100→100000004400305100→100000002723538100→100000008603629100→100000008686313100→100000000437046100→100000004070318100,6,15000.0
100000004070318100→100000004400305100→100000002723538100→100000008603629100→100000004351795100→100000000437046100→100000004070318100,6,15000.0
100000004070318100→100000004400305100→100000002723538100→100000003242289100→100000008304139100→100000000437046100→100000004070318100,6,15000.0
100000004007116100→100000003616818100→100000004160650100→100000002731501100→100000004007116100,4,15000.0
100000004070318100→100000004400305100→100000002723538100→100000008603629100→100000001660397100→100000006866783100→100000004070318100,6,15000.0
100000004070318100→100000004400305100→100000002723538100→100000003242289100→100000008304139100→100000006866783100→100000004070318100,6,15000.0
100000000011452100→100000005140601100→100000000011452100,2,15000.0
100000004007116100→100000003616818100→100000004160650100→100000004007116100,3,15000.0
100000005507142100→100000002612809100→100000005507142100,2,15000.0
100000004007116100→100000003616818100→100000004005964100→100000004007116100,3,15000.0
100000004007116100→100000003616818100→100000004160650100→100000004005964100→100000004007116100,4,15000.0
100000004070318100→100000004400305100→100000002723538100→100000008603629100→100000008686313100→100000006866783100→100000004070318100,6,15000.0
100000004070318100→100000004400305100→100000002723538100→100000008603629100→100000007639767100→100000000437046100→100000004070318100,6,15000.0
100000004351795100→100000003242289100→100000004140487100→100000004400305100→100000002723538100→100000008603629100→100000004351795100,6,15000.0
100000004692798100→100000000831684100→100000004692798100,2,15000.0
100000005339662100→100000004820260100→100000005175148100→100000005339662100,3,15000.0
100000005037490100→100000008733194100→100000005037490100,2,14000.0
100000008413748100→100000008304139100→100000008477350100→100000005910114100→100000002957787100→100000002645993100→100000008413748100,6,13480.0
100000004070318100→100000004400305100→100000005910114100→100000002957787100→100000002645993100→100000008413748100→100000004070318100,6,13480.0
100000004070318100→100000008477350100→100000005910114100→100000002957787100→100000002645993100→100000008413748100→100000004070318100,6,13480.0
100000004070318100→100000004400305100→100000002645993100→100000008413748100→100000008304139100→100000006866783100→100000004070318100,6,13480.0
100000004070318100→100000004400305100→100000002645993100→100000008413748100→100000004070318100,4,13480.0
100000004070318100→100000004400305100→100000002645993100→100000008413748100→100000008304139100→100000000437046100→100000004070318100,6,13480.0
100000004070318100→100000008346837100→100000005910114100→100000002957787100→100000002645993100→100000008413748100→100000004070318100,6,13480.0
100000004070318100→100000006866783100→100000008304139100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004475818100→100000005665181100→100000004475818100,2,13000.0
100000004070318100→100000008346837100→100000004351795100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008346837100→100000005910114100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000002723538100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000005264874100→100000005507142100→100000005264874100,2,13000.0
100000004070318100→100000008346837100→100000005910114100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008477350100→100000007639767100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,4,13000.0
100000004070318100→100000006866783100→100000004351795100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000001660397100→100000008413748100→100000008304139100→100000000437046100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000004847758100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000008686313100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000008686313100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000007639767100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008477350100→100000005910114100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008477350100→100000003968044100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008477350100→100000005910114100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000008686313100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008477350100→100000008086440100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000004390333100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000005910114100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000006866783100→100000002306369100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000004390333100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000008603629100→100000008686313100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000004390333100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000008304139100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000008304139100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000008413748100→100000008304139100→100000006866783100→100000002306369100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000006866783100→100000004351795100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000008603629100→100000008686313100→100000006866783100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000006866783100→100000001660397100→100000008413748100,4,13000.0
100000008413748100→100000008304139100→100000005782781100→100000004847758100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000001857829100→100000003880331100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000001857829100→100000008603629100→100000001660397100→100000008413748100,5,13000.0
100000008587459100→100000006866783100→100000001660397100→100000008413748100→100000008304139100→100000008587459100,5,13000.0
100000004070318100→100000008603629100→100000001660397100→100000008413748100→100000008304139100→100000006866783100→100000004070318100,6,13000.0
100000004070318100→100000008603629100→100000001660397100→100000008413748100→100000008304139100→100000000437046100→100000004070318100,6,13000.0
100000004070318100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,4,13000.0
100000008413748100→100000008304139100→100000008603629100→100000001660397100→100000008413748100,4,13000.0
100000008413748100→100000008304139100→100000006866783100→100000004847758100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000004070318100→100000004400305100→100000004847758100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000005910114100→100000008603629100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000004070318100→100000004400305100→100000008587459100→100000006866783100→100000001660397100→100000008413748100→100000004070318100,6,13000.0
100000008413748100→100000008304139100→100000008477350100→100000003968044100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000000437046100→100000008686313100→100000006866783100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000008477350100→100000007639767100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000000437046100→100000007639767100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000000437046100→100000008686313100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000008477350100→100000005910114100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000008477350100→100000005910114100→100000006866783100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000006866783100→100000007639767100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000006866783100→100000008686313100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000006866783100→100000004390333100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008413748100→100000008304139100→100000008477350100→100000008086440100→100000008603629100→100000001660397100→100000008413748100,6,13000.0
100000008636603100→100000003016635100→100000000667713100→100000008636603100,3,12750.0
100000008636603100→100000000667713100→100000008636603100,2,12750.0
100000005910114100→100000002957787100→100000008636603100→100000003016635100→100000008003034100→100000008346837100→100000005910114100,6,12201.0
100000003888271100→100000000580561100→100000003888271100,2,12177.0
100000008603629100→100000001660397100→100000008477350100→100000007639767100→100000008603629100,4,12000.0
100000008603629100→100000001660397100→100000008477350100→100000005910114100→100000006866783100→100000004390333100→100000008603629100,6,12000.0
100000008603629100→100000001660397100→100000008477350100→100000005910114100→100000008603629100,4,12000.0
100000008603629100→100000001660397100→100000008477350100→100000005910114100→100000001857829100→100000008603629100,5,12000.0
100000008686313100→100000006866783100→100000001660397100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,6,12000.0
100000008686313100→100000006866783100→100000001660397100→100000008477350100→100000007639767100→100000008603629100→100000008686313100,6,12000.0
100000004070318100→100000008603629100→100000001660397100→100000008477350100→100000008086440100→100000000437046100→100000004070318100,6,12000.0
100000004070318100→100000008603629100→100000001660397100→100000008477350100→100000005910114100→100000006866783100→100000004070318100,6,12000.0
100000001660397100→100000008477350100→100000005910114100→100000008111003100→100000003796063100→100000006866783100→100000001660397100,6,12000.0
100000008686313100→100000006866783100→100000001660397100→100000008477350100→100000003968044100→100000008603629100→100000008686313100,6,12000.0
100000008686313100→100000006866783100→100000001660397100→100000008477350100→100000005910114100→100000008603629100→100000008686313100,6,12000.0
100000008686313100→100000006866783100→100000001660397100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,6,12000.0
100000008603629100→100000001660397100→100000008477350100→100000005910114100→100000001857829100→100000003880331100→100000008603629100,6,12000.0
100000008603629100→100000001660397100→100000008477350100→100000003968044100→100000008603629100,4,12000.0
100000008686313100→100000008603629100→100000001660397100→100000008477350100→100000007639767100→100000000437046100→100000008686313100,6,12000.0
100000008686313100→100000008603629100→100000001660397100→100000008477350100→100000008086440100→100000000437046100→100000008686313100,6,12000.0
